ankle_distance,shoulder_distance,hip_angle,ankle_movement,ankle_speed,ankle_to_hip_ratio,hip_distance,knee_distance,shoulder_to_ankle_ratio,label
0.117879039,0.024134798,117.4933581,0,0,1.009751583,0.013636699,0.078806986,0.204742065,Running
0.116052635,0.022266217,118.0128722,0.001826404,0.054792122,0.990361001,0.013269539,0.07969946,0.19186309,Running
0.115087366,0.021401746,118.3407751,0.000965268,0.028958054,0.980567084,0.012986609,0.080266048,0.185960859,Running
0.114502108,0.02100178,118.5642512,0.000585258,0.017557752,0.97440294,0.012761346,0.080635508,0.183418281,Running
0.114030204,0.020845347,118.6937915,0.000471903,0.014157104,0.970224005,0.012624361,0.080867314,0.182805483,Running
0.113893304,0.020739216,118.7921772,0.0001369,0.004107006,0.968983925,0.012521858,0.081044619,0.182093373,Running
0.113825437,0.020685791,118.8736261,6.79E-05,0.002036024,0.968615804,0.01245523,0.081220099,0.18173259,Running
0.113747755,0.020665583,118.944454,7.77E-05,0.002330453,0.968008516,0.012388559,0.081353827,0.18167904,Running
0.113692109,0.020637337,118.9969671,5.56E-05,0.00166939,0.967492213,0.012334832,0.081451188,0.18151952,Running
0.113656946,0.020599121,119.0379085,3.52E-05,0.001054867,0.967148461,0.012301343,0.08151956,0.181239441,Running
0.113610757,0.020576585,119.0741734,4.62E-05,0.001385683,0.966699279,0.012275772,0.081587102,0.181114757,Running
0.113565905,0.020528967,119.1016646,4.49E-05,0.001345559,0.966334507,0.012252148,0.081639836,0.180766987,Running
0.113529215,0.020494984,119.1244927,3.67E-05,0.001100688,0.966159064,0.012232061,0.081683543,0.180526078,Running
0.113525167,0.020486875,119.1406109,4.05E-06,0.000121453,0.966104417,0.012212488,0.081712156,0.180461085,Running
0.11351299,0.020485851,119.1553362,1.22E-05,0.000365303,0.965961078,0.012192082,0.081739166,0.18047142,Running
0.113511486,0.020475182,119.1677299,1.50E-06,4.51E-05,0.965941653,0.012178219,0.081762939,0.180379823,Running
0.113505949,0.020464746,119.1769606,5.54E-06,0.00016611,0.965921006,0.012166559,0.081778978,0.180296678,Running
0.113503127,0.020457142,119.1858914,2.82E-06,8.47E-05,0.965903819,0.012152156,0.081794319,0.180234171,Running
0.11350106,0.020448625,119.1956131,2.07E-06,6.20E-05,0.965925433,0.012142972,0.081811271,0.180162419,Running
0.113492456,0.020448019,119.203969,8.60E-06,0.000258117,0.965853186,0.012133456,0.081826711,0.180170734,Running
0.113500574,0.020445173,119.2115039,8.12E-06,0.000243553,0.965960725,0.012124241,0.081839214,0.180132768,Running
0.113505936,0.02043972,119.2197614,5.36E-06,0.000160858,0.966056516,0.012116722,0.081852348,0.180076217,Running
0.113503785,0.020437377,119.2289606,2.15E-06,6.45E-05,0.9660615,0.012109914,0.081865577,0.180058988,Running
0.113509165,0.020435675,119.2367579,5.38E-06,0.000161408,0.966164584,0.012103415,0.081878238,0.180035461,Running
0.113512454,0.020435804,119.2442383,3.29E-06,9.87E-05,0.966285446,0.012096408,0.081889404,0.180031379,Running
0.113514869,0.020435068,119.2499283,2.41E-06,7.24E-05,0.966362972,0.012090454,0.081899195,0.180021068,Running
0.113518549,0.020435777,119.2555263,3.68E-06,0.0001104,0.966427411,0.012084487,0.081908307,0.180021481,Running
0.113520802,0.020433025,119.2604473,2.25E-06,6.76E-05,0.966507463,0.012078651,0.081914775,0.179993667,Running
0.113524308,0.020431421,119.266238,3.51E-06,0.000105199,0.966620341,0.012071569,0.081922083,0.179973975,Running
0.113522563,0.020427598,119.2717552,1.75E-06,5.24E-05,0.966692787,0.012064877,0.081929131,0.17994307,Running
0.113516244,0.020428371,119.2763543,6.32E-06,0.000189581,0.966672537,0.012058265,0.081936448,0.179959889,Running
0.113498696,0.020429256,119.2800021,1.75E-05,0.000526413,0.966570166,0.012052696,0.081942152,0.17999551,Running
0.113490487,0.020428581,119.2839509,8.21E-06,0.000246287,0.966552336,0.012047606,0.081947259,0.180002585,Running
0.11348446,0.02042855,119.2871599,6.03E-06,0.000180805,0.96653534,0.012043104,0.081952623,0.180011874,Running
0.11348031,0.020430084,119.2910998,4.15E-06,0.000124506,0.966530221,0.012037814,0.081958656,0.180031974,Running
0.113467229,0.020430612,119.2944265,1.31E-05,0.000392425,0.96645315,0.012032479,0.08196385,0.180057377,Running
0.113470415,0.020430628,119.2988424,3.19E-06,9.56E-05,0.966535831,0.012026586,0.081968352,0.18005247,Running
0.11346881,0.020430347,119.302749,1.61E-06,4.82E-05,0.966567896,0.012021869,0.081973894,0.18005254,Running
0.113465658,0.020431412,119.3070104,3.15E-06,9.45E-05,0.966569361,0.012015113,0.081979,0.180066924,Running
0.11346199,0.020431737,119.3120028,3.67E-06,0.000110063,0.966594389,0.012008109,0.081985527,0.180075612,Running
0.113466043,0.020430605,119.3175653,4.05E-06,0.000121598,0.966711335,0.01200214,0.081992261,0.180059204,Running
0.113465554,0.02042954,119.3220827,4.89E-07,1.47E-05,0.966742629,0.011995644,0.081997203,0.180050586,Running
0.113463332,0.020429843,119.3268781,2.22E-06,6.67E-05,0.966751451,0.011988216,0.08200219,0.180056788,Running
0.113460953,0.020426414,119.3308185,2.38E-06,7.14E-05,0.966787876,0.011983928,0.082008022,0.180030342,Running
0.113469884,0.020420735,119.3367492,8.93E-06,0.000267914,0.96698293,0.011979052,0.082017147,0.179966126,Running
0.113472302,0.020417255,119.340599,2.42E-06,7.26E-05,0.967059996,0.011974903,0.082023332,0.179931622,Running
0.113473757,0.02041526,119.3437218,1.45E-06,4.36E-05,0.967107005,0.011970983,0.082027671,0.179911729,Running
0.11346183,0.020411968,119.3476772,1.19E-05,0.000357806,0.967048413,0.011966492,0.082032957,0.179901628,Running
0.11346922,0.020407076,119.3526761,7.39E-06,0.000221696,0.967199803,0.011962763,0.08204102,0.179846802,Running
0.113472924,0.020402344,119.3571589,3.70E-06,0.000111139,0.967303279,0.011958593,0.082048208,0.17979923,Running
0.113463564,0.020396331,119.3609111,9.36E-06,0.00028081,0.967272438,0.011954288,0.082052857,0.179761064,Running
0.113450236,0.020391784,119.3645352,1.33E-05,0.000399835,0.967194888,0.01194927,0.082058596,0.179742099,Running
0.113453559,0.02038923,119.3693847,3.32E-06,9.97E-05,0.967322101,0.01194577,0.08206779,0.179714326,Running
0.113450132,0.020387426,119.3730988,3.43E-06,0.000102802,0.967350673,0.011942395,0.082073577,0.17970385,Running
0.11344525,0.020387022,119.3768654,4.88E-06,0.000146485,0.967357868,0.01193738,0.08207727,0.179708029,Running
