ankle_distance,shoulder_distance,hip_angle,ankle_movement,ankle_speed,ankle_to_hip_ratio,hip_distance,knee_distance,shoulder_to_ankle_ratio
0.09654546725444182,0.06927313337347649,152.3037340814082,0.0,0.0,0.726070087894803,0.025019218974267492,0.03061666800654771,0.7175182361582013
0.03657396654398436,0.07307772136122168,147.22330419795185,0.05997150071045747,1.7991450213137241,0.2633929763119094,0.015965550628205812,0.01990521434015502,1.9980802813207967
0.06506619116650243,0.07158059513014396,134.9108812997356,0.028492224622518075,0.8547667386755423,0.5396660576683611,0.021983353238874976,0.040666701017683445,1.1001196450391781
0.0713652694029209,0.07187766929353999,135.49013853141722,0.006299078236418468,0.18897234709255403,0.5941022603270406,0.019297466647181846,0.03505334666768582,1.0071799615542139
0.09725537027745279,0.05011613462422721,139.30514136876732,0.02589010087453189,0.7767030262359568,0.7833819503224152,0.01802615375940297,0.028387699560717065,0.5153045480291168
0.1172338144109021,0.046591361059349544,140.74982747018615,0.019978444133449305,0.5993533240034792,0.9216722123895663,0.023705959600392425,0.0275078750212735,0.39742254650222153
0.131809717635776,0.06809274109612898,144.55682566704246,0.014575903224873912,0.4372770967462174,0.9570899228196893,0.028768784589211074,0.040920935816874435,0.5165987934538078
0.13027740509806723,0.060409153674632995,142.83614331940856,0.0015323125377087743,0.04596937613126323,0.979607270625848,0.034609399266712276,0.05668862288749067,0.46369632269816535
0.13013507216410522,0.05116858759934386,145.23656295975576,0.00014233293396201385,0.004269988018860416,0.977342623225499,0.0326208739450407,0.0858304897355357,0.39319598282328033
0.12460889593184982,0.01860319941754584,148.2324939115954,0.005526176232255403,0.1657852869676621,0.9542672518501862,0.0329096530288664,0.09244668653647933,0.14929270722148252
0.12461831890628149,0.027406598065943907,154.16550432826432,9.422974431669284e-06,0.00028268923295007853,0.9222413067762755,0.02394548439649199,0.09407688849531849,0.21992431214350505
0.12905844318382123,0.033379816445733575,159.94202869795305,0.004440124277539745,0.13320372832619234,0.8833071599761313,0.026394151056831353,0.09897812429954461,0.2586410902089517
0.12165916852091443,0.02708352528579909,166.41487668855228,0.007399274662906796,0.2219782398872039,0.7726624335981932,0.024272708063281512,0.09097390906131281,0.2226180370544219
0.08502422840244443,0.04351692707112407,169.65849259254247,0.03663494011847,1.0990482035541,0.4623560126824925,0.015425157240880689,0.047054783695564234,0.5118179592897425
0.03758129194218855,0.05934370345666046,172.6852648984996,0.04744293646025588,1.4232880938076764,0.2091448364963189,0.029650741577226032,0.04667718018128608,1.5790756621126572
0.08518543927409254,0.08949808709186617,171.50277787105662,0.04760414733190399,1.4281244199571197,0.48349185590038013,0.04821523296570933,0.05822482273806534,1.0506265842440192
0.1181073165255455,0.11275386774417329,171.0766486148682,0.03292187725145296,0.9876563175435887,0.6697777146514895,0.05591296864631778,0.07097560275725782,0.9546730131641394
0.1352504373088519,0.12321932669592388,168.94217833770432,0.01714312078330639,0.5142936234991917,0.883666570044156,0.06468506712294468,0.07378301839929102,0.9110456804996918
0.1511915052834519,0.13567378952272524,173.08653409505052,0.015941067974600015,0.47823203923800045,1.0316952730360525,0.06987539253284777,0.0786150040809305,0.8973638384535279
0.15360561485432936,0.1397893254530217,176.50943152199375,0.002414109570877454,0.07242328712632362,1.1043261625503555,0.07606364177563939,0.07929457323056503,0.910053487208718
0.13679468832755803,0.08293313758951296,179.14800752049788,0.016810926526771325,0.5043277958031398,1.179914189900957,0.034819858137861884,0.030574199759680627,0.6062599257576994
0.0981812981577592,0.14072760685699573,172.40751522707515,0.03861339016979884,1.1584017050939652,1.689041358341407,0.08480405093506074,0.14004599747107435,1.4333443282739293
0.007146587290540694,0.1347736696248663,149.67366550971576,0.0910347108672185,2.731041326016555,0.2051335782334747,0.08135705398346682,0.040040448649447294,18.858465466902544
0.007182203824010969,0.10392630250163683,3.5311401646499485,3.56165334702745e-05,0.001068496004108235,0.06141791223591908,0.05463945367675684,0.06862643878154655,14.469973986842135
0.01333117062149423,0.07160010535369989,8.120147735351082,0.0061489667974832605,0.1844690039244978,0.09323054180596009,0.0438797716210875,0.07196251900910955,5.370879076309846
0.019607707165737374,0.048907397278816794,3.1386714928722914,0.006276536544243145,0.18829609632729433,0.12360132132841702,0.025116537789732746,0.020219219999768025,2.4942945580234834
0.026521177999919935,0.09406802455450877,2.6462598986460444,0.006913470834182561,0.20740412502547684,0.14644792922487132,0.04189794081987005,0.040749143865713364,3.5469021984918148
0.04146868603439882,0.10632927736227876,7.573383110561006,0.014947508034478887,0.4484252410343666,0.2287931871392305,0.0493111981217407,0.04301056390579089,2.5640860015211775
0.08349566573396958,0.08893347411805451,5.266019668601451,0.042026979699570755,1.2608093909871227,0.45256870858849674,0.04405905516653935,0.07483903905046299,1.0651268342647946
0.07342295225736119,0.07677310796864789,4.634445625079265,0.010072713476608389,0.3021814042982517,0.4490951818695649,0.04288349274229779,0.044173506279878365,1.0456281804025502
0.0289187169715491,0.09191427222252456,2.5859403538695447,0.044504235285812085,1.3351270585743626,0.3963619443911341,0.04024957996276246,0.039194181607276286,3.1783661879934697
0.0314607039474022,0.09254706091188158,1.8140445868767419,0.0025419869758530993,0.07625960927559298,0.5237079344052831,0.025407290400460077,0.02246922757868978,2.941671650660044
0.14625225068782782,0.20834531818325314,23.34779649465154,0.11479154674042563,3.443746402212769,2.016244797570583,0.07227115901054815,0.1250944402265398,1.4245614491633471
0.11274846540175204,0.26440378588626373,38.78419174718281,0.03350378528607578,1.0051135585822735,1.6417031112415388,0.10204810912785495,0.12794810417254798,2.3450765821434856
