frame,x_0,y_0,z_0,v_0,x_1,y_1,z_1,v_1,x_2,y_2,z_2,v_2,x_3,y_3,z_3,v_3,x_4,y_4,z_4,v_4,x_5,y_5,z_5,v_5,x_6,y_6,z_6,v_6,x_7,y_7,z_7,v_7,x_8,y_8,z_8,v_8,x_9,y_9,z_9,v_9,x_10,y_10,z_10,v_10,x_11,y_11,z_11,v_11,x_12,y_12,z_12,v_12,x_13,y_13,z_13,v_13,x_14,y_14,z_14,v_14,x_15,y_15,z_15,v_15,x_16,y_16,z_16,v_16,x_17,y_17,z_17,v_17,x_18,y_18,z_18,v_18,x_19,y_19,z_19,v_19,x_20,y_20,z_20,v_20,x_21,y_21,z_21,v_21,x_22,y_22,z_22,v_22,x_23,y_23,z_23,v_23,x_24,y_24,z_24,v_24,x_25,y_25,z_25,v_25,x_26,y_26,z_26,v_26,x_27,y_27,z_27,v_27,x_28,y_28,z_28,v_28,x_29,y_29,z_29,v_29,x_30,y_30,z_30,v_30,x_31,y_31,z_31,v_31,x_32,y_32,z_32,v_32
0,0.4585663974285126,0.37892672419548035,0.14088648557662964,0.9941685199737549,0.45766857266426086,0.36324015259742737,0.10512273013591766,0.9938783049583435,0.4578767716884613,0.36310604214668274,0.10512619465589523,0.9931886196136475,0.4581303298473358,0.36309757828712463,0.10513036698102951,0.9943313598632812,0.4594859480857849,0.36056774854660034,0.12509654462337494,0.9962759017944336,0.46097099781036377,0.35840073227882385,0.12505413591861725,0.996732234954834,0.462642103433609,0.35618460178375244,0.12494111061096191,0.9976527094841003,0.4673282206058502,0.3609688878059387,-0.013986888341605663,0.9898109436035156,0.4753999412059784,0.3518906831741333,0.07656305283308029,0.996618390083313,0.46482160687446594,0.38986310362815857,0.1031959131360054,0.988106369972229,0.4667799174785614,0.3870030343532562,0.12926223874092102,0.9916532635688782,0.4769679605960846,0.42715194821357727,-0.10236005485057831,0.9989948868751526,0.5335204005241394,0.3882179260253906,0.11716511100530624,0.9991588592529297,0.4524120092391968,0.5172948241233826,-0.04515083506703377,0.7260280251502991,0.5105651021003723,0.5183910727500916,0.22039036452770233,0.03849732503294945,0.4299570918083191,0.5480682253837585,0.1213134229183197,0.43348559737205505,0.47468721866607666,0.5688488483428955,0.2964038550853729,0.04740557447075844,0.4242653548717499,0.5497320890426636,0.12039956450462341,0.4072287678718567,0.4664672911167145,0.5805220603942871,0.3157409727573395,0.06208430603146553,0.42579394578933716,0.5394227504730225,0.1245957538485527,0.41150981187820435,0.4615713357925415,0.5769703984260559,0.2956239879131317,0.06279181689023972,0.4295423924922943,0.5383274555206299,0.12648063898086548,0.38779234886169434,0.4638083279132843,0.5786464810371399,0.29005181789398193,0.07218000292778015,0.5568124651908875,0.6454443335533142,-0.0915699154138565,0.9985411167144775,0.5781705975532532,0.647462010383606,0.09151539206504822,0.9988290667533875,0.491975873708725,0.77008455991745,-0.04488084465265274,0.9052423238754272,0.5099599361419678,0.7645055055618286,0.14202819764614105,0.44485634565353394,0.462965190410614,0.952526867389679,0.028979379683732986,0.903971254825592,0.5446474552154541,0.9069026112556458,0.22321197390556335,0.5776318907737732,0.4629175066947937,0.960162341594696,0.03804650530219078,0.8676069378852844,0.5579284429550171,0.9363293051719666,0.2320893108844757,0.6640915870666504,0.4114595651626587,0.9554041028022766,0.02070745639503002,0.8401721119880676,0.5149371027946472,0.9399060010910034,0.2138916403055191,0.4944339394569397
1,0.4536658525466919,0.3940611779689789,0.12309544533491135,0.9945723414421082,0.4513970613479614,0.3739868700504303,0.08826754242181778,0.9942940473556519,0.4513483941555023,0.37352460622787476,0.08825669437646866,0.9936322569847107,0.45135968923568726,0.37311458587646484,0.08824359625577927,0.9946901202201843,0.45370790362358093,0.3706853687763214,0.11187904328107834,0.9964840412139893,0.4553610682487488,0.36787644028663635,0.1118299812078476,0.9969011545181274,0.4573433995246887,0.36484894156455994,0.11172308772802353,0.9977766275405884,0.4602592885494232,0.36878401041030884,-0.026905788108706474,0.9905637502670288,0.46919670701026917,0.3585314452648163,0.07659304887056351,0.9968197345733643,0.4591812789440155,0.4063381552696228,0.08638586848974228,0.9890038371086121,0.461386114358902,0.40309110283851624,0.11735008656978607,0.9922930002212524,0.47130224108695984,0.4308677315711975,-0.1224006861448288,0.9990758299827576,0.5262686610221863,0.38902223110198975,0.1291765719652176,0.9992085099220276,0.44625040888786316,0.5309635400772095,-0.07553871721029282,0.7348790168762207,0.5088480710983276,0.5022880434989929,0.24651071429252625,0.0410599447786808,0.43526551127433777,0.5700148940086365,0.10881579667329788,0.435708612203598,0.4620934724807739,0.5710160136222839,0.34874311089515686,0.050111185759305954,0.4331236183643341,0.5731443166732788,0.11139128357172012,0.4092903733253479,0.4520416259765625,0.5861374735832214,0.37792375683784485,0.06523790955543518,0.4338005483150482,0.5654241442680359,0.11790749430656433,0.4127559959888458,0.4497157335281372,0.584116518497467,0.35497575998306274,0.06638620793819427,0.43676573038101196,0.563668429851532,0.11577211320400238,0.3893028795719147,0.4518551826477051,0.5822778344154358,0.3420822322368622,0.07611874490976334,0.5523497462272644,0.6507189869880676,-0.09582529217004776,0.9985799789428711,0.5694283246994019,0.6490593552589417,0.09573785960674286,0.9988516569137573,0.4824383854866028,0.7766864895820618,-0.01876411773264408,0.9062752723693848,0.49346596002578735,0.7647278308868408,0.14107686281204224,0.43908262252807617,0.46379420161247253,0.95195072889328,0.09850876778364182,0.8964000344276428,0.48332318663597107,0.9258001446723938,0.19596131145954132,0.5660707950592041,0.4656432867050171,0.9630067944526672,0.1124928742647171,0.8510638475418091,0.4877234995365143,0.9598097205162048,0.20108060538768768,0.6591987013816833,0.4170321524143219,0.9739121198654175,0.11589176207780838,0.8317704200744629,0.4470210671424866,0.9532451629638672,0.18849335610866547,0.4902500808238983
2,0.43255534768104553,0.4044991731643677,0.08937958627939224,0.9949927926063538,0.4331531822681427,0.38101136684417725,0.05913091078400612,0.9947417974472046,0.43389996886253357,0.3804551959037781,0.05909150093793869,0.9941238760948181,0.43474331498146057,0.38003015518188477,0.05906964838504791,0.9951239824295044,0.43411973118782043,0.3787476122379303,0.08238451182842255,0.9967284202575684,0.4355192184448242,0.3765559196472168,0.08234492689371109,0.9970914125442505,0.43706366419792175,0.3743395507335663,0.08226052671670914,0.9979094862937927,0.4461129903793335,0.37851443886756897,-0.04027970880270004,0.9913290739059448,0.45056527853012085,0.37134459614753723,0.06356973201036453,0.996969997882843,0.43947872519493103,0.41817572712898254,0.05694790929555893,0.9899042844772339,0.43990030884742737,0.41662970185279846,0.08699918538331985,0.9928092360496521,0.4581618309020996,0.4530431926250458,-0.14669261872768402,0.9991586804389954,0.49868977069854736,0.4056290090084076,0.12762871384620667,0.9991511106491089,0.43649375438690186,0.5628833770751953,-0.12159077078104019,0.7578110694885254,0.5069944858551025,0.5040539503097534,0.25513890385627747,0.04080405831336975,0.3834795355796814,0.5916077494621277,0.04160451143980026,0.47850218415260315,0.46196094155311584,0.5546146631240845,0.3707427680492401,0.05260706692934036,0.3740878105163574,0.5973080396652222,0.04079838842153549,0.45070597529411316,0.4526691436767578,0.5650764107704163,0.3991977572441101,0.07010462135076523,0.37503716349601746,0.5868849158287048,0.045267410576343536,0.4539983570575714,0.4492575526237488,0.5628989934921265,0.38029447197914124,0.07171159237623215,0.37933820486068726,0.584955096244812,0.04843350127339363,0.4274393320083618,0.45170316100120544,0.5613799691200256,0.3656950294971466,0.08099139481782913,0.5439738631248474,0.6766494512557983,-0.1002754420042038,0.9986974596977234,0.5451802015304565,0.6536341905593872,0.10018632560968399,0.9989084005355835,0.4647887647151947,0.7791110277175903,-0.06516550481319427,0.9134803414344788,0.46199294924736023,0.7417731285095215,0.1386362463235855,0.45192524790763855,0.4652603268623352,0.9523253440856934,-0.0023910922463983297,0.9044041633605957,0.4559645652770996,0.8939183950424194,0.20277906954288483,0.5800022482872009,0.4712521433830261,0.9709272384643555,0.005925382953137159,0.8584878444671631,0.46590882539749146,0.9238066673278809,0.20893968641757965,0.6694188714027405,0.417765349149704,0.9902057647705078,-0.003926195669919252,0.8450532555580139,0.4128003418445587,0.9299153685569763,0.22585126757621765,0.5168846845626831
3,0.42256078124046326,0.4101890027523041,0.09676559269428253,0.9954665899276733,0.4209439158439636,0.38700324296951294,0.06561177968978882,0.995246171951294,0.42130568623542786,0.38639411330223083,0.06556661427021027,0.9946893453598022,0.4217485189437866,0.38589441776275635,0.06553627550601959,0.995595395565033,0.42251384258270264,0.38485199213027954,0.08932551741600037,0.9970299601554871,0.42394182085990906,0.3827269375324249,0.08932125568389893,0.997351348400116,0.42569592595100403,0.3803573548793793,0.08926445990800858,0.9980902671813965,0.4322761297225952,0.3847443163394928,-0.03762353956699371,0.9921746253967285,0.4384797215461731,0.37686222791671753,0.06587790697813034,0.9972386956214905,0.4294777810573578,0.42403414845466614,0.06322790682315826,0.9908854961395264,0.43053311109542847,0.42198416590690613,0.09384682774543762,0.9934841394424438,0.44905081391334534,0.4621044993400574,-0.15342189371585846,0.9992420077323914,0.4897278845310211,0.40396103262901306,0.14018814265727997,0.9991500973701477,0.43107515573501587,0.5788392424583435,-0.20501025021076202,0.7818849086761475,0.4958495497703552,0.43311160802841187,0.3257947266101837,0.042592715471982956,0.38508540391921997,0.6377834677696228,-0.12375723570585251,0.5292074680328369,0.46523740887641907,0.426311731338501,0.5166933536529541,0.05410453677177429,0.3732697367668152,0.6523093581199646,-0.13355177640914917,0.502644956111908,0.4647621810436249,0.42379817366600037,0.558341383934021,0.07157299667596817,0.37303274869918823,0.6430242657661438,-0.12631253898143768,0.5054417848587036,0.4609699547290802,0.4237351417541504,0.546685516834259,0.07331535965204239,0.3774980306625366,0.6398515701293945,-0.11681901663541794,0.4784427285194397,0.46039441227912903,0.42755797505378723,0.5166358351707458,0.08184734731912613,0.5301029682159424,0.6794678568840027,-0.10488370060920715,0.9988212585449219,0.5365298986434937,0.6616624593734741,0.1047554761171341,0.9989981055259705,0.45481714606285095,0.7816055417060852,-0.08340225368738174,0.9212656021118164,0.45404091477394104,0.7494884133338928,0.0958547294139862,0.4892653524875641,0.46520933508872986,0.952258288860321,-0.04056490585207939,0.9126985669136047,0.4329265058040619,0.896303653717041,0.1230095773935318,0.6106677055358887,0.47229722142219543,0.972821056842804,-0.03376012295484543,0.8684584498405457,0.44257500767707825,0.928204357624054,0.12488933652639389,0.6922816634178162,0.44008466601371765,0.9907689690589905,-0.05814904719591141,0.8584173917770386,0.3818660080432892,0.9281142950057983,0.10865321755409241,0.5549746751785278
4,0.41415122151374817,0.42136088013648987,0.017561770975589752,0.9958683848381042,0.41367071866989136,0.3987247943878174,-0.0054425811395049095,0.9956796765327454,0.4141189157962799,0.3975068926811218,-0.005478734616190195,0.9951773285865784,0.41465944051742554,0.39623066782951355,-0.005472833756357431,0.9960017204284668,0.41486069560050964,0.3975919783115387,0.024362636730074883,0.9972727298736572,0.4160737097263336,0.3957480788230896,0.02435784973204136,0.9975578784942627,0.4174460470676422,0.3938129246234894,0.024308063089847565,0.998231053352356,0.4261881709098816,0.3926650881767273,-0.07203927636146545,0.9929175972938538,0.4308764636516571,0.3895811438560486,0.06017570570111275,0.9974486827850342,0.4217706024646759,0.433117151260376,-0.0037112082354724407,0.9917628169059753,0.42255130410194397,0.43200528621673584,0.034975726157426834,0.9940504431724548,0.4501775801181793,0.4648856818675995,-0.16440337896347046,0.9993161559104919,0.46789178252220154,0.44034281373023987,0.14423887431621552,0.9991917014122009,0.4288078844547272,0.6028472781181335,-0.20915499329566956,0.8032143115997314,0.4662351608276367,0.5275470018386841,0.24720533192157745,0.04564087092876434,0.38076433539390564,0.7079138159751892,-0.1496095210313797,0.5742208957672119,0.4351809620857239,0.6046426296234131,0.25725051760673523,0.06120245158672333,0.37070634961128235,0.72927325963974,-0.1702927201986313,0.5485525131225586,0.42928874492645264,0.6178230047225952,0.27433788776397705,0.0777004137635231,0.3672682046890259,0.7267382144927979,-0.15727071464061737,0.5507134795188904,0.42631420493125916,0.6185214519500732,0.2464088648557663,0.07964779436588287,0.3731019198894501,0.7198631763458252,-0.14169226586818695,0.5228925347328186,0.4288841784000397,0.6156937479972839,0.24586063623428345,0.08764317631721497,0.5278322696685791,0.6813788414001465,-0.10287948697805405,0.9989367127418518,0.5135438442230225,0.6610831618309021,0.10275594145059586,0.9990845322608948,0.44905075430870056,0.7828033566474915,-0.20579303801059723,0.9288314580917358,0.43338775634765625,0.7556589245796204,0.1603599339723587,0.5208051800727844,0.4798111021518707,0.9628811478614807,-0.17830199003219604,0.9209842085838318,0.40804803371429443,0.8970489501953125,0.23585227131843567,0.6400970220565796,0.49637502431869507,0.9860745072364807,-0.1759306937456131,0.8798081278800964,0.4139153063297272,0.9289527535438538,0.24128584563732147,0.7132775783538818,0.4555848240852356,1.002084732055664,-0.23031307756900787,0.8719053268432617,0.35828956961631775,0.9275444746017456,0.227207213640213,0.5932480692863464
5,0.40684378147125244,0.42775413393974304,-0.022371308878064156,0.9962407946586609,0.4067443609237671,0.40476736426353455,-0.045944806188344955,0.9960762858390808,0.4073966443538666,0.4037782549858093,-0.0459672249853611,0.995622992515564,0.4084363877773285,0.4026657044887543,-0.045958757400512695,0.996370255947113,0.4080212712287903,0.4027932286262512,-0.015998350456357002,0.9975069165229797,0.4094422459602356,0.4007638096809387,-0.01599937118589878,0.9977637529373169,0.4109961688518524,0.39875277876853943,-0.016053540632128716,0.9983771443367004,0.42066752910614014,0.4001922011375427,-0.11446542292833328,0.9935851693153381,0.42390114068984985,0.39609071612358093,0.0201531071215868,0.9976617097854614,0.4144710600376129,0.43783038854599,-0.04440831020474434,0.9925563335418701,0.41557997465133667,0.43569377064704895,-0.005668274592608213,0.9945910573005676,0.4408797323703766,0.4762395918369293,-0.20563261210918427,0.9993829727172852,0.464335560798645,0.4504106044769287,0.11376405507326126,0.999256432056427,0.4222398102283478,0.6234450936317444,-0.24113719165325165,0.822503924369812,0.4670883119106293,0.5776721239089966,0.1488226056098938,0.04987981915473938,0.38934001326560974,0.7512552738189697,-0.1767902672290802,0.6146141290664673,0.4445638060569763,0.6968238353729248,0.10533443093299866,0.06875015795230865,0.3816604018211365,0.778504490852356,-0.20040859282016754,0.589268684387207,0.4391273558139801,0.7177495956420898,0.11311101168394089,0.0832357257604599,0.38030916452407837,0.7796452641487122,-0.18654890358448029,0.5907920598983765,0.4360775947570801,0.7216975092887878,0.08374176174402237,0.08491998165845871,0.3841506242752075,0.7721399664878845,-0.16918055713176727,0.5618811249732971,0.43859565258026123,0.7154552340507507,0.09238196909427643,0.09192773699760437,0.5170586109161377,0.6864560842514038,-0.10247575491666794,0.9990392923355103,0.5041237473487854,0.6602886915206909,0.10245796293020248,0.9991612434387207,0.4339349865913391,0.7876903414726257,-0.1270579844713211,0.9352496862411499,0.4246225953102112,0.7557201385498047,0.1821824014186859,0.5378081202507019,0.49135255813598633,0.963843584060669,-0.08470482379198074,0.9280151128768921,0.3950863480567932,0.8978135585784912,0.24593792855739594,0.6594668030738831,0.5095619559288025,0.9854327440261841,-0.08077125251293182,0.8889264464378357,0.4015362858772278,0.9298563599586487,0.2513750493526459,0.7250627279281616,0.4573518633842468,0.9987425804138184,-0.11544815450906754,0.8830336332321167,0.34874600172042847,0.9285827875137329,0.24425072968006134,0.6207934021949768
6,0.3980046212673187,0.42971131205558777,0.007143424358218908,0.9958913922309875,0.39826950430870056,0.4070679545402527,-0.021371066570281982,0.9959028959274292,0.3986107110977173,0.4059712588787079,-0.021392822265625,0.9955158233642578,0.3989446759223938,0.4049568474292755,-0.021441573277115822,0.9961745738983154,0.40060898661613464,0.40470704436302185,0.005172782111912966,0.9970464706420898,0.4023118317127228,0.4022526443004608,0.005161591339856386,0.997322678565979,0.4039378762245178,0.3999369442462921,0.005045033060014248,0.9978609085083008,0.40992358326911926,0.4010426998138428,-0.11287395656108856,0.9935421943664551,0.4176655411720276,0.3941667973995209,0.006560287903994322,0.9972714781761169,0.4048413038253784,0.4389001131057739,-0.021836021915078163,0.9926732778549194,0.4069550633430481,0.43737882375717163,0.012500199489295483,0.9943333268165588,0.4241922199726105,0.47976016998291016,-0.20683269202709198,0.9994398355484009,0.46179643273353577,0.4390367865562439,0.0757310688495636,0.9992558360099792,0.42490190267562866,0.6341192722320557,-0.2277432382106781,0.8365437984466553,0.46825817227363586,0.5546823143959045,0.148155078291893,0.05079701542854309,0.40732333064079285,0.7670539617538452,-0.14617086946964264,0.6310052871704102,0.4864785969257355,0.6388354897499084,0.20005913078784943,0.06512830406427383,0.408601850271225,0.7924692630767822,-0.15953640639781952,0.599656343460083,0.49042195081710815,0.6535033583641052,0.22254078090190887,0.0784153938293457,0.40615496039390564,0.7928938269615173,-0.14816929399967194,0.6000458002090454,0.4851182997226715,0.6557300686836243,0.20452837646007538,0.07986336201429367,0.40685778856277466,0.7839407324790955,-0.13937993347644806,0.5635437369346619,0.48385298252105713,0.6524413824081421,0.1942465603351593,0.08650226145982742,0.4973124861717224,0.6852790117263794,-0.09919701516628265,0.9991316795349121,0.5076412558555603,0.6600059866905212,0.09894832223653793,0.9992210268974304,0.43236681818962097,0.8100035786628723,-0.050368357449769974,0.9410180449485779,0.4271242916584015,0.7691459059715271,0.20626570284366608,0.5442125797271729,0.5008282661437988,0.9661064743995667,0.03323394060134888,0.9339014291763306,0.3909547030925751,0.8983312845230103,0.3332839012145996,0.6685468554496765,0.5173804759979248,0.9847971796989441,0.042322948575019836,0.8941895961761475,0.3984895348548889,0.9319877624511719,0.3469984829425812,0.7246120572090149,0.46927356719970703,0.9989229440689087,0.0183094535022974,0.8904633522033691,0.3540538251399994,0.9292768239974976,0.3488031327724457,0.630529522895813
7,0.38825589418411255,0.42575836181640625,-0.011601611040532589,0.9961821436882019,0.38966840505599976,0.4041503071784973,-0.03813512623310089,0.9962019920349121,0.390342652797699,0.4031311571598053,-0.03817135840654373,0.9958223700523376,0.39105579257011414,0.40213802456855774,-0.03822575882077217,0.9964375495910645,0.39089006185531616,0.40228357911109924,-0.011309633031487465,0.9972313046455383,0.39240893721580505,0.4001842439174652,-0.011317216791212559,0.9974725246429443,0.3939495384693146,0.39813271164894104,-0.011387796141207218,0.9979868531227112,0.4028891623020172,0.39839622378349304,-0.11428268253803253,0.9939852952957153,0.4070529043674469,0.39311718940734863,0.005917748901993036,0.9973974227905273,0.39441633224487305,0.43622076511383057,-0.03514441102743149,0.9932155013084412,0.3960508704185486,0.4351259171962738,-0.0002997309493366629,0.9947262406349182,0.42013201117515564,0.4787583649158478,-0.18891967833042145,0.9994814991950989,0.44944193959236145,0.4381917715072632,0.0802636668086052,0.9993123412132263,0.42710888385772705,0.6282005906105042,-0.17723846435546875,0.8304653167724609,0.4713420867919922,0.5537457466125488,0.16868090629577637,0.04939106106758118,0.4207614064216614,0.7126839756965637,0.013287486508488655,0.6033658385276794,0.47937101125717163,0.649703860282898,0.2247139811515808,0.06130140274763107,0.42117947340011597,0.6982261538505554,0.015432566404342651,0.5734475255012512,0.4884825050830841,0.6722840666770935,0.2458905577659607,0.07399188727140427,0.42251136898994446,0.680338442325592,0.01891252212226391,0.574413537979126,0.4755665957927704,0.6724435091018677,0.22744418680667877,0.07530049234628677,0.4240676760673523,0.6794553995132446,0.019168855622410774,0.5384135246276855,0.4759906828403473,0.6644471287727356,0.21875827014446259,0.08169488608837128,0.49154508113861084,0.691510796546936,-0.09766222536563873,0.9992148876190186,0.4917178750038147,0.6592192649841309,0.09747397154569626,0.9992932081222534,0.44090068340301514,0.8153365254402161,-0.03931354731321335,0.9464906454086304,0.41455382108688354,0.7631300091743469,0.1587522178888321,0.5681750178337097,0.5039742588996887,0.9653428792953491,0.0266320388764143,0.9400681853294373,0.3926013112068176,0.9038123488426208,0.18191927671432495,0.6953197121620178,0.5218304991722107,0.9827995300292969,0.036171913146972656,0.9030331373214722,0.40119659900665283,0.9373103380203247,0.18396210670471191,0.7419012188911438,0.48570433259010315,0.9956762194633484,0.02994709648191929,0.9004473090171814,0.3488749563694,0.9473188519477844,0.17720134556293488,0.6598660349845886
8,0.38255563378334045,0.4282742142677307,-0.060581106692552567,0.9957702159881592,0.3841606378555298,0.40550491213798523,-0.08625296503305435,0.9955809712409973,0.38494545221328735,0.404300719499588,-0.08628431707620621,0.9952782988548279,0.38574573397636414,0.4031318128108978,-0.08633165061473846,0.9959718585014343,0.38530629873275757,0.40358033776283264,-0.05702477693557739,0.9964268207550049,0.3869321644306183,0.4011571705341339,-0.05701646953821182,0.9966757297515869,0.38855260610580444,0.3988441228866577,-0.057120516896247864,0.9972889423370361,0.3976442217826843,0.39817148447036743,-0.15768732130527496,0.9935672879219055,0.40178182721138,0.3929522633552551,-0.025530193001031876,0.9963289499282837,0.38849055767059326,0.43878912925720215,-0.08278438448905945,0.9927442073822021,0.39007383584976196,0.4385020136833191,-0.044467080384492874,0.9934567213058472,0.41621172428131104,0.47455862164497375,-0.22764836251735687,0.9995207190513611,0.4405304491519928,0.4372413456439972,0.053325753659009933,0.9993157982826233,0.4399050772190094,0.6156364679336548,-0.2442951798439026,0.8201901912689209,0.47701025009155273,0.5601720809936523,0.09410052746534348,0.049628451466560364,0.4536142945289612,0.7168475389480591,-0.1673862785100937,0.5829067230224609,0.48378053307533264,0.6688510179519653,0.0744122788310051,0.05910308286547661,0.46047085523605347,0.7346930503845215,-0.18151089549064636,0.5530442595481873,0.4877420663833618,0.6953024864196777,0.08035492897033691,0.07065612822771072,0.459922730922699,0.7341228723526001,-0.18017578125,0.5527666807174683,0.48166894912719727,0.6985173225402832,0.05915417522192001,0.07172422856092453,0.45842429995536804,0.7257851362228394,-0.1652398556470871,0.5140634775161743,0.481233686208725,0.6885141730308533,0.06390196830034256,0.07773718237876892,0.485694020986557,0.6953856945037842,-0.09645792841911316,0.9992877244949341,0.4753566384315491,0.6636049151420593,0.09626801311969757,0.9993466734886169,0.44482558965682983,0.845166027545929,-0.0443081296980381,0.951533854007721,0.3993261456489563,0.7702774405479431,0.17327888309955597,0.6032161712646484,0.5128598213195801,0.9651204347610474,0.01958302967250347,0.9457951188087463,0.3963318169116974,0.9099199175834656,0.30505362153053284,0.7215443253517151,0.5347030162811279,0.9819574356079102,0.02708280272781849,0.9104161858558655,0.4097692668437958,0.9392367005348206,0.3157597780227661,0.7588949203491211,0.4977588355541229,1.0044543743133545,0.027904538437724113,0.9096197485923767,0.3537779450416565,0.9601752161979675,0.3037126660346985,0.6883375644683838
9,0.37516337633132935,0.4094036817550659,-0.10914061963558197,0.9948627948760986,0.37700286507606506,0.3899959921836853,-0.13117630779743195,0.9943300485610962,0.3779950439929962,0.3888198435306549,-0.13124580681324005,0.9942275285720825,0.37902751564979553,0.3877430856227875,-0.1313111037015915,0.9952414035797119,0.37700802087783813,0.38954833149909973,-0.09863725304603577,0.9948365688323975,0.37802451848983765,0.3882245421409607,-0.09860049188137054,0.9949327111244202,0.3791004717350006,0.3870110511779785,-0.09868717938661575,0.9956594109535217,0.3909330368041992,0.3847508430480957,-0.18494655191898346,0.9930199980735779,0.3912391662597656,0.38395050168037415,-0.037672996520996094,0.9938130974769592,0.38122695684432983,0.421273797750473,-0.12524905800819397,0.9920569062232971,0.3811894357204437,0.4224417209625244,-0.08246321231126785,0.990565299987793,0.4159146547317505,0.4445495307445526,-0.24551235139369965,0.99954754114151,0.4271114468574524,0.43334054946899414,0.05910850688815117,0.9988928437232971,0.4498048424720764,0.5731091499328613,-0.26219442486763,0.8225593566894531,0.47068536281585693,0.5545745491981506,0.10185148566961288,0.04730340093374252,0.45915743708610535,0.6944807171821594,-0.1994602382183075,0.5871232748031616,0.4793643057346344,0.6438562870025635,0.059831518679857254,0.05674814060330391,0.46544650197029114,0.7221262454986572,-0.21926912665367126,0.5543508529663086,0.48095276951789856,0.6684183478355408,0.060094647109508514,0.06771539151668549,0.46075186133384705,0.7106375098228455,-0.21837030351161957,0.5529476404190063,0.47625577449798584,0.6708593964576721,0.03668962046504021,0.06859538704156876,0.4599129259586334,0.7113808989524841,-0.19707298278808594,0.5095006823539734,0.4759840667247772,0.6620309948921204,0.047334372997283936,0.07440124452114105,0.481221079826355,0.6914746165275574,-0.09654033184051514,0.9993371963500977,0.4631637632846832,0.6632624268531799,0.09635625779628754,0.9993174076080322,0.4458690583705902,0.8495112657546997,-0.01945294812321663,0.9560808539390564,0.3937562108039856,0.772090494632721,0.2120276838541031,0.6357126235961914,0.5187123417854309,0.958798348903656,0.11237917095422745,0.9509138464927673,0.40658968687057495,0.9109649658203125,0.3946167230606079,0.7448641657829285,0.5413532257080078,0.9739503264427185,0.12205743789672852,0.9155407547950745,0.4204120934009552,0.9392193555831909,0.41005557775497437,0.772705078125,0.49862581491470337,1.0027801990509033,0.06592367589473724,0.9177950024604797,0.3660511076450348,0.9622525572776794,0.40036705136299133,0.7150629758834839
